Cupo_TC,SEX,EDUCATION,MARRIAGE,AGE,RETRASO_PAGO_ESTADO_t-0,RETRASO_PAGO_ESTADO_t-1,RETRASO_PAGO_ESTADO_t-2,RETRASO_PAGO_ESTADO_t-3,RETRASO_PAGO_ESTADO_t-4,RETRASO_PAGO_ESTADO_t-5,DEUDA_MES_t-0,DEUDA_MES_t-1,DEUDA_MES_t-2,DEUDA_MES_t-3,DEUDA_MES_t-4,DEUDA_MES_t-5,PAGO_MES_t-0,PAGO_MES_t-1,PAGO_MES_t-2,PAGO_MES_t-3,PAGO_MES_t-4,PAGO_MES_t-5,default payment next month
160000,femenino,posgrado,casado,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,masculino,posgrado,casado,66,0,0,0,0,0,0,279579,258070,77910,61440,44590,12270,10700,47000,1500,0,0,0,0
70000,masculino,universidad,soltero_a,51,0,0,0,0,0,0,67880,66658,58486,29171,17725,17693,3028,3199,1267,642,651,1665,0
160000,masculino,universidad,casado,43,0,0,0,0,0,0,69554,72390,75521,78987,80891,62113,4000,5000,10000,4000,3000,6000,0
500000,femenino,universidad,casado,39,0,-1,-1,-1,-2,-2,11712,523,1543,0,0,0,523,1543,0,0,0,0,0
70000,masculino,colegio,casado,55,2,2,2,2,2,2,20205,22856,22202,24326,23636,25350,3000,0,2500,0,2100,1100,1
280000,femenino,universidad,soltero_a,33,-2,-2,-1,0,0,-1,167,3690,1735,1735,1714,843,3700,1735,0,1700,1000,22000,1
110000,femenino,universidad,soltero_a,24,-1,0,0,0,0,0,90929,92303,92114,70057,28492,107453,3550,3200,2500,1600,80000,4000,0
60000,masculino,universidad,soltero_a,53,0,0,0,0,0,0,56765,57849,57432,27126,27579,29085,3000,4000,2000,2000,2000,2000,0
500000,masculino,posgrado,casado,40,-2,-2,-2,-2,-2,-2,5255,721,17252,7388,6069,0,721,17252,7421,6069,0,0,1
190000,femenino,colegio,casado,45,0,0,0,0,0,0,76433,78472,80548,81778,83082,84811,3300,3331,3359,2663,2751,3000,0
90000,femenino,universidad,soltero_a,23,0,0,0,0,0,0,13107,13740,14770,13306,10465,9704,1251,1281,1173,500,1000,1000,0
360000,femenino,posgrado,soltero_a,27,0,0,0,0,0,0,130640,120058,110795,101668,78730,66682,4500,4100,4208,3000,2300,1800,0
30000,femenino,universidad,casado,38,0,0,2,0,0,2,2433,4772,2897,3236,3575,1764,4000,0,2000,2000,0,1900,1
200000,femenino,posgrado,casado,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,femenino,universidad,soltero_a,29,0,0,0,0,-1,0,47107,60800,68095,64339,15522,51336,18000,10000,2635,15522,41136,2000,0
30000,femenino,universidad,casado,45,1,2,2,2,2,2,23155,22490,26789,26065,27408,26831,0,5000,0,2084,0,2305,1
200000,masculino,universidad,soltero_a,27,0,0,2,0,0,0,25334,26203,25652,25162,24995,23901,2204,1004,1004,1013,2018,4,0
30000,masculino,universidad,soltero_a,29,-1,-1,-1,-1,-1,0,390,390,390,390,1438,719,390,390,390,1438,0,1588,0
50000,masculino,colegio,soltero_a,34,1,2,2,2,2,2,33776,34824,33988,36311,36918,36191,1900,0,3200,1500,0,3000,1
360000,masculino,posgrado,soltero_a,31,-1,-1,-1,0,0,-1,735,51,20007,18498,18422,1842,51,20007,1590,1000,1842,390,0
350000,femenino,colegio,casado,64,0,0,0,0,0,0,30726,27639,28890,31090,32265,33737,3000,2000,3000,2000,2000,2000,0
220000,masculino,colegio,casado,42,-1,-1,-1,-1,-1,-1,285,825,0,1230,3227,3820,825,0,1230,3227,3820,3650,0
200000,femenino,posgrado,soltero_a,30,-1,-1,-1,-1,-1,-1,665,2618,963,1459,1028,878,2618,963,1459,1028,878,878,0
260000,femenino,universidad,casado,54,-1,-1,0,0,0,0,16570,7934,20258,52574,19463,20226,8234,20034,52045,7000,8073,30113,0
150000,femenino,posgrado,casado,30,1,2,-1,0,-1,2,44820,14657,20950,3601,696,696,0,20962,1,696,0,50348,0
60000,masculino,universidad,casado,41,0,0,2,-1,-1,-1,27130,32932,31938,1236,720,16884,6300,0,1236,720,17000,0,1
60000,femenino,universidad,soltero_a,24,0,0,0,0,0,0,50840,49592,44412,45402,35704,36524,2100,1847,1837,1139,1254,1387,0
210000,femenino,universidad,soltero_a,38,0,0,0,0,0,0,76418,78798,82525,84353,87835,79481,5000,5000,3200,5000,3000,2500,0
500000,masculino,posgrado,soltero_a,33,0,0,0,0,0,0,49981,45803,43838,25588,24648,23773,2200,2000,3000,2000,2657,85500,0
80000,femenino,universidad,soltero_a,24,0,0,0,0,0,-1,60423,55120,20407,18839,3810,23836,2007,2000,1014,0,23836,3000,0
230000,femenino,posgrado,soltero_a,27,0,0,0,0,-1,-1,11406,10097,4600,3234,4696,7062,5097,1060,1000,4696,7062,10898,0
460000,masculino,universidad,casado,55,0,0,-1,0,0,0,5352,8240,76653,75117,76616,78248,3000,76653,20000,2481,2600,2600,0
130000,masculino,universidad,casado,43,-2,-2,-2,-1,0,0,0,0,0,96963,99004,101833,0,0,96963,3554,4435,3304,0
200000,femenino,posgrado,casado,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,masculino,universidad,soltero_a,31,0,0,0,0,0,0,37408,37681,37987,37100,37098,37846,1931,1888,1458,1489,1510,1505,0
130000,femenino,otro,soltero_a,28,0,0,0,0,0,0,36108,34256,36357,37878,39489,41833,3000,3000,2500,3000,3000,2000,0
80000,masculino,universidad,soltero_a,27,1,2,-1,-1,-1,-1,3751,832,2696,1457,990,3356,2,2704,1461,993,3366,5012,1
140000,femenino,posgrado,soltero_a,24,2,0,0,0,2,0,778,982,1206,5430,4460,8429,980,1000,5000,0,5000,10000,0
60000,masculino,universidad,soltero_a,35,0,0,0,0,2,0,34604,35625,36701,39048,37269,38000,1900,1953,3300,0,1430,1300,0
260000,femenino,universidad,casado,43,-1,-1,-1,-2,-1,-1,684,1726,0,0,5055,5996,1742,0,0,5055,5996,5648,0
20000,femenino,colegio,casado,31,0,0,0,0,0,0,15654,16425,17265,16647,12213,10998,1330,1170,500,420,397,221,1
90000,femenino,universidad,soltero_a,23,-2,-2,-2,-2,-2,-2,3440,6140,5812,13955,22687,15621,6140,5812,13955,22687,15621,2540,0
630000,femenino,posgrado,casado,31,0,0,0,0,0,0,447263,458762,470298,480587,385587,373910,20000,20000,20000,15000,15000,15000,0
150000,femenino,posgrado,soltero_a,28,-1,-1,2,-1,-1,2,1159,2468,1159,1159,11476,10249,2468,0,1159,11476,0,2034,0
610000,femenino,posgrado,soltero_a,35,0,0,0,0,0,0,389335,388150,392776,399343,402432,409912,14117,14100,14144,17100,17500,3600,0
80000,femenino,universidad,soltero_a,24,0,0,0,0,0,0,77883,78749,77025,66725,21604,9352,3500,4000,2784,1882,1000,457,0
360000,femenino,posgrado,soltero_a,33,-2,-1,2,-1,0,0,0,883,887,26292,22279,550,883,4,26514,557,550,2500,0
240000,femenino,universidad,casado,43,0,0,0,0,0,0,48502,49001,47026,45827,39527,40868,2200,1923,1682,2000,2000,1300,0
50000,masculino,universidad,soltero_a,22,-1,0,0,2,0,0,5696,6723,8619,8334,8510,8728,1277,2173,0,459,513,161,0
50000,masculino,universidad,soltero_a,30,2,2,2,2,2,2,21839,22771,23700,24016,23332,24849,1600,1600,1000,0,1896,0,1
50000,femenino,universidad,soltero_a,27,2,2,2,2,2,0,48407,47760,45064,45744,43123,42343,2100,0,3400,0,1528,3038,1
280000,femenino,posgrado,casado,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
350000,femenino,posgrado,soltero_a,33,0,0,0,0,0,0,314994,322472,244792,140218,181571,167905,12695,9790,5302,95621,11920,6107,1
70000,femenino,posgrado,soltero_a,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0
180000,femenino,posgrado,soltero_a,33,0,0,0,0,0,0,94001,99558,106353,113047,115572,117660,8000,10000,10000,4500,4500,5300,0
280000,masculino,posgrado,soltero_a,31,2,0,0,-1,0,0,278510,279845,0,189841,193313,192742,6996,0,189841,6022,6078,5300,1
70000,femenino,universidad,soltero_a,23,-1,-1,-1,-1,0,0,312,1823,326,6598,6405,7248,1837,326,6598,227,1270,1296,0
50000,masculino,universidad,soltero_a,43,0,0,0,0,0,0,46594,47585,48887,49097,17203,17562,1768,2070,1280,616,636,640,1
90000,femenino,colegio,casado,58,-2,-2,-2,-2,-2,-2,5563,0,0,0,0,0,0,0,0,0,0,5156,0
180000,femenino,universidad,casado,37,0,0,0,0,0,0,78089,75159,76602,76896,78588,77770,3333,3310,2900,3040,3500,2300,0
170000,femenino,posgrado,soltero_a,31,-2,-2,-2,-2,-2,-2,757,4319,1489,362,451,620,4319,1499,362,451,620,1400,0
250000,masculino,posgrado,soltero_a,29,0,0,0,0,0,0,124442,93302,92934,94002,92826,88001,5000,5000,3500,4000,4000,5000,0
200000,masculino,posgrado,casado,34,-1,-1,-1,-1,-2,-2,165,165,165,0,0,0,165,165,0,0,0,0,0
500000,masculino,posgrado,casado,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0
200000,femenino,posgrado,casado,25,-1,-1,-2,-2,-2,-2,776,0,0,151,0,0,0,0,151,0,0,0,0
80000,femenino,universidad,casado,32,0,0,0,0,0,-2,28408,25695,11553,2350,0,0,1259,1035,1600,0,0,0,0
360000,masculino,universidad,casado,28,0,0,0,-2,-1,-1,207571,182384,161295,199803,198614,2383,6114,4899,202074,200395,2383,98668,0
20000,femenino,colegio,casado,52,2,2,2,2,0,0,5682,6437,7181,7908,8781,9645,1000,1000,1000,1000,1000,0,1
50000,femenino,universidad,soltero_a,27,0,0,0,0,0,0,33944,29194,27862,21229,20178,19275,1513,2000,2000,1000,1000,1000,0
360000,masculino,colegio,soltero_a,34,0,0,0,0,0,0,304883,301286,258122,255309,233946,235916,15000,9221,9225,8112,8369,9000,0
50000,femenino,universidad,soltero_a,22,2,0,0,0,0,0,47076,48628,48524,8411,8587,8758,2617,2463,350,311,313,324,1
20000,masculino,universidad,soltero_a,33,0,0,0,0,0,0,13479,14944,16392,17789,18238,17638,2000,2000,2000,1000,800,700,0
80000,femenino,universidad,casado,25,0,0,0,0,0,0,73267,74425,76347,51150,43193,44230,2971,3435,1750,1593,1730,1972,1
220000,masculino,posgrado,soltero_a,35,1,2,0,0,2,2,190105,185836,187220,199542,202036,200956,0,6600,15200,7000,2000,15000,1
350000,femenino,posgrado,casado,52,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
60000,femenino,posgrado,soltero_a,23,0,0,0,0,0,0,51275,41950,40861,35638,32147,19796,2000,1718,3800,2000,2386,1000,0
180000,masculino,universidad,casado,36,2,2,-2,-2,-2,-2,83538,0,0,0,0,0,0,0,0,0,0,0,1
80000,femenino,colegio,casado,50,0,0,0,0,0,0,6627,9503,11966,14493,20328,23506,3000,3000,3000,8000,3506,3000,0
30000,femenino,posgrado,soltero_a,26,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0
190000,masculino,universidad,soltero_a,29,0,0,0,0,0,0,185222,163336,157158,149423,115038,97756,5836,6358,5487,4038,3803,3042,0
260000,masculino,universidad,casado,62,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,780,390,390,390,390,0
310000,femenino,universidad,casado,36,0,0,0,0,0,0,294180,295875,302438,293473,297926,280967,11000,11300,10500,10100,10000,9600,0
140000,femenino,universidad,casado,29,0,0,0,0,0,0,100064,95224,104440,88467,71519,63150,6029,30000,7981,3000,3000,3000,0
210000,femenino,universidad,soltero_a,32,0,0,0,0,0,0,44304,46255,50486,54019,58091,61630,3000,5000,5000,5000,4500,5000,0
230000,femenino,universidad,soltero_a,24,0,0,0,0,0,0,24973,24974,25566,23427,28229,31355,5000,5000,2100,5229,3355,4598,0
280000,femenino,universidad,soltero_a,30,2,2,2,2,2,0,254307,257669,226452,215692,194206,185854,9100,5509,7604,0,9200,6400,0
180000,femenino,universidad,casado,36,0,0,0,0,0,0,98736,96566,81166,72463,72189,70712,6025,5000,6800,5000,5000,5000,0
50000,masculino,colegio,casado,54,1,2,0,0,0,0,48679,47597,48503,49517,19592,19868,0,2100,2500,800,1000,900,0
20000,femenino,posgrado,soltero_a,31,3,2,2,2,2,0,6186,5941,8541,8560,8274,9135,0,2869,305,0,1000,1000,1
250000,femenino,posgrado,soltero_a,28,0,0,0,0,0,0,116861,109714,101494,92258,71472,77800,5000,5000,3000,3000,11500,10000,0
20000,masculino,universidad,soltero_a,23,1,3,2,2,0,0,17529,16967,17176,16605,17185,18340,0,780,0,1000,1600,1000,1
130000,femenino,posgrado,soltero_a,29,-1,-1,-2,-2,-2,-2,2139,0,0,0,0,0,0,0,0,0,0,0,0
80000,femenino,universidad,soltero_a,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,3100,0,0,0,0,0
150000,femenino,universidad,soltero_a,50,-1,-1,-1,-1,-1,-2,7890,8958,780,7500,0,0,8958,780,7500,0,0,0,0
200000,femenino,posgrado,soltero_a,30,-2,-2,-2,-2,-2,-2,1028,1025,1613,2193,2698,3812,1030,1621,2213,2711,3831,2213,0
500000,femenino,universidad,soltero_a,29,0,0,0,0,0,0,433792,396009,335873,320755,316650,318228,13678,12021,11428,10871,11736,10699,1
130000,femenino,colegio,casado,38,0,0,0,0,0,0,100443,95794,92765,48481,47779,42362,3516,4112,2007,2516,1119,1016,1
90000,femenino,posgrado,casado,38,0,0,0,0,0,2,85376,86326,88122,62706,53612,40963,4326,4322,2706,3575,0,1670,0
250000,femenino,universidad,soltero_a,33,0,0,0,0,0,0,147934,149485,152678,157337,159719,163649,5500,5600,7200,6500,6500,6000,0
150000,femenino,otro,casado,26,1,-2,-2,-2,-1,-1,0,0,0,0,741,0,0,0,0,741,0,1669,0
30000,femenino,posgrado,soltero_a,45,1,2,-1,-1,-1,-1,5830,1330,909,390,29570,940,0,909,390,29570,940,3482,0
210000,femenino,posgrado,soltero_a,28,-1,-1,-1,-1,0,0,262,3771,5474,69536,76188,72678,3771,5474,69536,10000,4000,2100,0
160000,femenino,universidad,casado,37,0,-1,-1,-1,0,-1,13307,22887,16846,2150,1033,8264,22887,16890,2150,0,8264,8799,0
30000,masculino,universidad,soltero_a,29,0,0,0,0,0,0,12174,13309,13874,15304,8588,4873,1635,1200,1630,4000,1000,300,0
300000,femenino,colegio,casado,27,-1,-1,-1,-1,-1,-1,1890,1570,390,390,390,390,1570,390,390,390,390,1890,0
180000,masculino,colegio,casado,35,0,0,0,0,0,0,111752,54470,48311,38221,33947,24731,2258,1734,1183,1174,1000,537,0
180000,femenino,colegio,casado,33,-1,-1,-1,-1,-1,-1,478,478,2272,3970,330,0,478,2272,3970,420,0,0,0
310000,femenino,universidad,casado,35,0,0,-1,0,0,-1,14332,8257,11505,17264,10919,3185,1041,11512,7271,5000,3215,15558,0
50000,masculino,universidad,soltero_a,35,0,0,0,0,-1,-1,14536,10827,9594,7309,1277,3310,2000,2000,2000,1277,3294,0,0
50000,femenino,colegio,otro,55,-1,-1,-1,0,0,2,390,390,911,1080,930,390,390,911,559,390,0,390,0
20000,masculino,universidad,soltero_a,33,0,0,0,0,0,-1,8488,10179,11901,11901,9336,9054,2000,2000,0,0,9054,2000,1
500000,femenino,universidad,soltero_a,26,0,0,0,0,0,0,59039,58262,54586,29280,31284,29371,4028,2077,1001,3008,1305,1007,0
360000,femenino,universidad,soltero_a,30,-2,-2,-2,-2,-2,-2,2500,0,0,0,0,0,0,0,0,0,0,0,0
50000,masculino,colegio,casado,52,2,2,2,2,4,3,36428,37530,38630,41774,40806,41357,2000,2000,4086,0,1500,1000,0
280000,femenino,universidad,soltero_a,33,0,0,0,0,0,0,55709,51834,41426,35212,40052,46510,9441,2691,3001,6010,10000,6655,0
150000,femenino,colegio,casado,34,0,0,0,-1,-1,-1,28210,19130,10000,8000,0,10000,1130,1000,8000,2000,10000,0,0
720000,masculino,posgrado,casado,40,0,0,0,0,0,0,308274,209976,158694,148956,135217,85300,8500,6000,6000,5237,3000,8961,1
290000,femenino,universidad,casado,42,0,0,0,0,0,0,154753,122241,113434,115273,97040,89942,7000,6000,5000,5000,4000,3000,0
50000,masculino,posgrado,soltero_a,25,0,0,0,0,0,0,49654,49917,25239,10228,10107,9178,1600,2310,303,369,331,4,0
500000,masculino,universidad,soltero_a,26,0,0,0,0,0,0,126725,128206,129327,130136,127699,124623,6005,6005,6094,4161,5021,4350,0
240000,femenino,posgrado,casado,45,-1,-1,-1,-1,-1,-1,8732,5286,5596,3328,3763,9529,5286,5596,3328,3763,9529,4895,0
270000,femenino,posgrado,soltero_a,31,0,0,-2,-1,-1,0,13759,0,0,2786,4686,3184,0,0,2786,4686,0,0,0
30000,masculino,universidad,soltero_a,24,-1,-1,-1,0,0,-2,390,390,780,780,0,0,390,780,0,0,0,0,1
480000,masculino,posgrado,casado,41,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,femenino,otro,soltero_a,39,0,0,0,0,0,0,109023,99265,78430,77653,78395,70849,4000,3507,3003,3003,3510,3500,0
20000,masculino,universidad,casado,34,0,0,2,3,2,0,14950,16446,19844,19162,18704,19226,2065,3398,0,0,780,18010,0
500000,femenino,universidad,soltero_a,32,-1,-1,-1,-1,0,0,9609,5609,967,16638,15721,17349,5637,972,16671,5749,7376,10723,0
360000,masculino,colegio,casado,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,9451,0
20000,femenino,universidad,casado,30,0,0,0,0,0,0,16754,17763,18854,19972,18090,19842,1291,2382,1500,605,2000,2000,0
250000,femenino,universidad,casado,50,0,0,2,0,0,0,116256,122392,118668,95735,96509,97089,11500,0,3543,3700,3547,3165,0
80000,masculino,universidad,soltero_a,26,-1,0,0,0,0,0,2159,4132,5949,7144,5309,500,2000,2002,2005,15,523,0,0
360000,femenino,universidad,soltero_a,32,-2,-2,-2,-2,-2,-2,171,1058,3494,6339,2131,535,1058,3494,6339,2131,535,82000,0
440000,femenino,posgrado,casado,40,0,0,0,0,0,0,416044,424528,434015,434419,393135,385578,16500,17500,17000,14500,14500,13500,0
90000,masculino,universidad,casado,29,0,0,0,0,0,0,84844,65217,63943,62327,55800,56800,2277,3489,1639,1136,1000,0,0
110000,femenino,universidad,soltero_a,29,1,2,2,2,2,2,21068,16412,16809,8682,8861,8623,1102,1000,0,602,0,1000,0
290000,femenino,colegio,soltero_a,37,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,396,396,396,396,396,396,0
260000,femenino,posgrado,casado,35,0,0,0,0,0,0,51133,60247,63615,71839,75506,78647,10000,5000,10000,5000,5000,10000,0
150000,femenino,universidad,soltero_a,37,0,0,0,0,0,0,80463,82513,84271,43832,33963,34638,3348,3490,1402,1233,1240,1284,1
170000,femenino,posgrado,casado,50,-1,-1,-1,-1,-1,-1,1978,2191,3185,0,582,3779,2191,3185,0,582,3779,75,0
300000,femenino,posgrado,casado,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,femenino,colegio,casado,42,1,3,4,3,2,0,44498,46740,45718,44696,43848,44718,3240,0,0,0,1600,1845,1
80000,femenino,universidad,casado,44,0,0,0,0,0,0,76992,73036,17576,5616,25439,25833,2000,1000,4554,21000,1000,1000,0
60000,femenino,colegio,soltero_a,26,-1,2,-1,-1,0,0,4837,3642,6232,6444,3783,3219,0,6472,6444,3219,0,0,0
30000,masculino,universidad,casado,36,1,-1,-1,-1,0,0,0,780,0,1170,780,0,780,0,1170,0,0,0,0
150000,masculino,posgrado,soltero_a,25,0,0,0,0,0,-1,52952,95134,31578,26089,16624,5107,60086,2000,2000,5000,6000,9000,0
390000,masculino,posgrado,casado,35,-1,-1,0,0,0,0,14673,83728,67892,65246,68949,52724,83728,2637,2576,5000,2724,2000,0
450000,femenino,posgrado,casado,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1
20000,femenino,posgrado,soltero_a,24,2,0,0,0,0,0,18466,15946,16327,17970,18819,16642,1500,1500,2000,1000,1000,1000,1
110000,femenino,universidad,soltero_a,52,0,0,0,0,0,0,38298,39295,40331,41346,42013,42890,1935,1971,1986,1653,1706,1714,0
190000,masculino,posgrado,soltero_a,36,1,2,2,2,2,2,153364,149482,160000,155932,166414,169625,0,13000,0,13000,6100,0,1
300000,femenino,universidad,casado,48,-1,-1,-1,-2,-1,-1,440,452,0,0,3427,1098,452,0,0,3427,1098,0,0
20000,masculino,colegio,casado,26,3,2,3,2,0,0,10135,11926,11448,10970,11636,12442,2100,0,0,1000,1000,0,1
80000,masculino,posgrado,soltero_a,24,0,0,0,0,0,0,77225,75429,71977,56023,47582,48039,3649,2502,2205,1702,1800,1908,0
200000,femenino,posgrado,casado,31,-1,-1,-1,-1,-1,-1,261,6229,5815,851,2029,1997,6229,5815,854,2029,1997,10342,0
270000,masculino,colegio,soltero_a,32,1,2,2,2,0,0,157318,153388,164866,160821,164010,167446,0,13900,0,5760,5967,7488,0
30000,femenino,universidad,soltero_a,23,0,0,0,0,0,0,24607,24430,23881,24234,24853,7814,1700,1600,1287,1296,500,1550,0
90000,femenino,universidad,soltero_a,27,0,0,0,0,0,0,18525,14242,25574,21948,19689,11026,10105,16776,19689,0,5000,15000,0
140000,femenino,universidad,casado,43,2,2,0,0,0,0,90632,88637,90859,92734,48461,49067,0,4200,4261,2182,1844,1652,1
100000,masculino,universidad,casado,42,0,0,0,0,0,0,98430,99998,16138,17758,18774,20272,5000,2000,2000,2000,2000,2000,0
260000,femenino,universidad,casado,43,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1
20000,masculino,universidad,soltero_a,26,1,4,3,2,3,2,19276,18691,18048,18553,19465,16523,0,0,1000,1400,0,3000,0
180000,femenino,universidad,soltero_a,36,0,0,0,2,2,-1,14222,14701,17322,13137,0,2293,1300,2902,3047,0,2293,2000,0
360000,femenino,posgrado,soltero_a,43,1,-1,-1,-1,-1,-1,0,10121,390,2809,390,390,10121,780,2809,390,390,390,1
180000,femenino,universidad,casado,68,0,0,0,0,0,0,127933,133279,127636,138164,142921,153691,15000,12000,20000,10000,20000,5000,0
20000,masculino,universidad,soltero_a,24,2,2,0,0,2,0,15166,14638,15582,17809,17385,18437,0,1500,2500,0,1500,1500,1
100000,masculino,colegio,casado,44,0,0,0,0,0,0,39649,43608,46899,47447,48035,40484,5000,5000,1554,1595,1686,1200,0
200000,femenino,colegio,casado,38,0,0,0,-1,-1,2,60473,151786,109495,13785,22173,10482,101796,29894,13943,21865,0,26218,0
440000,femenino,universidad,soltero_a,31,0,0,0,0,0,-1,49803,25781,18400,10978,1175,32857,1390,4375,271,497,34255,1048,0
210000,femenino,universidad,soltero_a,34,0,0,0,0,0,0,63672,57299,59336,61349,63366,65155,2200,3000,3000,3000,3000,3500,0
90000,femenino,colegio,casado,37,0,0,0,0,0,0,78159,82779,86905,88310,79842,81235,8000,7500,4000,3000,2700,17000,0
260000,femenino,posgrado,soltero_a,36,1,2,2,2,2,2,2111,545,2332,1277,1996,1020,0,2007,0,1020,0,923,1
180000,femenino,universidad,casado,40,0,-1,-1,-1,-1,-1,144481,1620,334,9379,1100,43505,1620,337,9379,1100,43505,0,0
180000,femenino,posgrado,casado,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0,0,0,0
200000,masculino,posgrado,soltero_a,27,0,0,-1,-1,-1,-1,58725,76287,22869,30268,54466,37127,30229,22946,30684,54589,37208,55031,0
30000,femenino,colegio,soltero_a,47,-1,-1,-1,-1,0,0,3220,390,0,5780,11611,0,390,0,5780,6611,0,0,0
230000,femenino,universidad,soltero_a,36,1,-2,-2,-2,-1,-1,2404,681,4048,0,5092,7452,687,4053,0,5092,7464,2485,0
410000,masculino,universidad,casado,36,-2,-2,-2,-2,-1,-1,3827,9921,28961,2954,9942,2628,10534,29750,3483,10470,2636,122005,0
400000,femenino,colegio,soltero_a,34,-2,-2,-2,-2,-2,-2,10150,5869,5750,132866,21780,41050,5869,5750,132872,21780,20525,74984,0
50000,masculino,universidad,soltero_a,31,0,0,0,0,-1,-1,48640,49483,40850,0,800,400,2000,3000,0,400,20000,10000,0
470000,femenino,posgrado,casado,35,0,0,0,0,0,0,270005,262579,248080,232961,217802,202092,9500,9000,8086,14700,7000,9000,0
300000,masculino,posgrado,soltero_a,37,0,0,0,0,0,0,52268,53440,54615,47146,47486,16937,3000,3011,582,602,627,587,0
30000,femenino,posgrado,casado,30,0,0,-1,2,-1,-1,3836,4380,1169,779,566,1361,1016,1169,0,567,1365,1834,0
60000,masculino,universidad,soltero_a,30,0,0,0,0,0,0,4419,5683,6733,7662,8529,9884,1500,1300,1200,1000,1500,800,1
500000,masculino,posgrado,casado,34,0,0,0,0,0,0,104638,104176,70726,45435,49408,53372,3780,3030,10327,10031,10255,115270,0
240000,masculino,posgrado,soltero_a,33,0,0,0,0,0,0,124105,127593,130474,134296,139117,143634,7000,5000,6000,7000,7000,5445,0
20000,femenino,posgrado,casado,30,2,2,2,0,0,0,5766,7511,7678,7318,7458,7598,2000,500,0,500,500,0,1
