Cupo_TC,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,AGE,RETRASO_PAGO_ESTADO_t-0,RETRASO_PAGO_ESTADO_t-1,RETRASO_PAGO_ESTADO_t-2,RETRASO_PAGO_ESTADO_t-3,RETRASO_PAGO_ESTADO_t-4,RETRASO_PAGO_ESTADO_t-5,DEUDA_MES_t-0,DEUDA_MES_t-1,DEUDA_MES_t-2,DEUDA_MES_t-3,DEUDA_MES_t-4,DEUDA_MES_t-5,PAGO_MES_t-0,PAGO_MES_t-1,PAGO_MES_t-2,PAGO_MES_t-3,PAGO_MES_t-4,PAGO_MES_t-5,default payment next month,AGE_DECILES,PROMEDIO_DEUDA,CUPO_DECILES,DEUDA/CUPO
500000,0,1,0,0,1,0,1,0,0,33,0,0,0,0,0,0,49981,45803,43838,25588,24648,23773,2200,2000,3000,2000,2657,85500,0,5,35605.166666666664,10,0.07121033333333333
80000,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,-1,60423,55120,20407,18839,3810,23836,2007,2000,1014,0,23836,3000,0,1,30405.833333333332,3,0.38007291666666665
230000,1,0,0,0,1,0,1,0,0,27,0,0,0,0,-1,-1,11406,10097,4600,3234,4696,7062,5097,1060,1000,4696,7062,10898,0,2,6849.166666666667,7,0.029778985507246378
460000,0,1,0,1,0,0,0,1,0,55,0,0,-1,0,0,0,5352,8240,76653,75117,76616,78248,3000,76653,20000,2481,2600,2600,0,10,53371.0,10,0.11602391304347826
130000,0,1,0,1,0,0,0,1,0,43,-2,-2,-2,-1,0,0,0,0,0,96963,99004,101833,0,0,96963,3554,4435,3304,0,8,49633.333333333336,5,0.3817948717948718
200000,1,0,0,0,1,0,0,1,0,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,7,0.0
40000,0,1,0,1,0,0,1,0,0,31,0,0,0,0,0,0,37408,37681,37987,37100,37098,37846,1931,1888,1458,1489,1510,1505,0,4,37520.0,2,0.938
130000,1,0,0,0,0,1,1,0,0,28,0,0,0,0,0,0,36108,34256,36357,37878,39489,41833,3000,3000,2500,3000,3000,2000,0,3,37653.5,5,0.2896423076923077
80000,0,1,0,1,0,0,1,0,0,27,1,2,-1,-1,-1,-1,3751,832,2696,1457,990,3356,2,2704,1461,993,3366,5012,1,2,2180.3333333333335,3,0.02725416666666667
140000,1,0,0,0,1,0,1,0,0,24,2,0,0,0,2,0,778,982,1206,5430,4460,8429,980,1000,5000,0,5000,10000,0,1,3547.5,5,0.025339285714285713
60000,0,1,0,1,0,0,1,0,0,35,0,0,0,0,2,0,34604,35625,36701,39048,37269,38000,1900,1953,3300,0,1430,1300,0,6,36874.5,3,0.614575
260000,1,0,0,1,0,0,0,1,0,43,-1,-1,-1,-2,-1,-1,684,1726,0,0,5055,5996,1742,0,0,5055,5996,5648,0,8,2243.5,8,0.008628846153846154
20000,1,0,1,0,0,0,0,1,0,31,0,0,0,0,0,0,15654,16425,17265,16647,12213,10998,1330,1170,500,420,397,221,1,4,14867.0,1,0.74335
90000,1,0,0,1,0,0,1,0,0,23,-2,-2,-2,-2,-2,-2,3440,6140,5812,13955,22687,15621,6140,5812,13955,22687,15621,2540,0,1,11275.833333333334,4,0.12528703703703703
630000,1,0,0,0,1,0,0,1,0,31,0,0,0,0,0,0,447263,458762,470298,480587,385587,373910,20000,20000,20000,15000,15000,15000,0,4,436067.8333333333,10,0.692171164021164
150000,1,0,0,0,1,0,1,0,0,28,-1,-1,2,-1,-1,2,1159,2468,1159,1159,11476,10249,2468,0,1159,11476,0,2034,0,3,4611.666666666667,5,0.030744444444444446
610000,1,0,0,0,1,0,1,0,0,35,0,0,0,0,0,0,389335,388150,392776,399343,402432,409912,14117,14100,14144,17100,17500,3600,0,6,396991.3333333333,10,0.6508054644808743
80000,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,0,77883,78749,77025,66725,21604,9352,3500,4000,2784,1882,1000,457,0,1,55223.0,3,0.6902875
360000,1,0,0,0,1,0,1,0,0,33,-2,-1,2,-1,0,0,0,883,887,26292,22279,550,883,4,26514,557,550,2500,0,5,8481.833333333334,9,0.02356064814814815
240000,1,0,0,1,0,0,0,1,0,43,0,0,0,0,0,0,48502,49001,47026,45827,39527,40868,2200,1923,1682,2000,2000,1300,0,8,45125.166666666664,8,0.18802152777777778
50000,0,1,0,1,0,0,1,0,0,22,-1,0,0,2,0,0,5696,6723,8619,8334,8510,8728,1277,2173,0,459,513,161,0,1,7768.333333333333,2,0.15536666666666665
50000,0,1,0,1,0,0,1,0,0,30,2,2,2,2,2,2,21839,22771,23700,24016,23332,24849,1600,1600,1000,0,1896,0,1,4,23417.833333333332,2,0.46835666666666664
50000,1,0,0,1,0,0,1,0,0,27,2,2,2,2,2,0,48407,47760,45064,45744,43123,42343,2100,0,3400,0,1528,3038,1,2,45406.833333333336,2,0.9081366666666667
280000,1,0,0,0,1,0,0,1,0,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,8,0.0
350000,1,0,0,0,1,0,1,0,0,33,0,0,0,0,0,0,314994,322472,244792,140218,181571,167905,12695,9790,5302,95621,11920,6107,1,5,228658.66666666666,9,0.6533104761904761
70000,1,0,0,0,1,0,1,0,0,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,1,65476.0,3,0.9353714285714285
180000,1,0,0,0,1,0,1,0,0,33,0,0,0,0,0,0,94001,99558,106353,113047,115572,117660,8000,10000,10000,4500,4500,5300,0,5,107698.5,6,0.598325
280000,0,1,0,0,1,0,1,0,0,31,2,0,0,-1,0,0,278510,279845,0,189841,193313,192742,6996,0,189841,6022,6078,5300,1,4,189041.83333333334,8,0.6751494047619048
70000,1,0,0,1,0,0,1,0,0,23,-1,-1,-1,-1,0,0,312,1823,326,6598,6405,7248,1837,326,6598,227,1270,1296,0,1,3785.3333333333335,3,0.05407619047619048
50000,0,1,0,1,0,0,1,0,0,43,0,0,0,0,0,0,46594,47585,48887,49097,17203,17562,1768,2070,1280,616,636,640,1,8,37821.333333333336,2,0.7564266666666667
90000,1,0,1,0,0,0,0,1,0,58,-2,-2,-2,-2,-2,-2,5563,0,0,0,0,0,0,0,0,0,0,5156,0,10,927.1666666666666,4,0.010301851851851852
180000,1,0,0,1,0,0,0,1,0,37,0,0,0,0,0,0,78089,75159,76602,76896,78588,77770,3333,3310,2900,3040,3500,2300,0,6,77184.0,6,0.4288
170000,1,0,0,0,1,0,1,0,0,31,-2,-2,-2,-2,-2,-2,757,4319,1489,362,451,620,4319,1499,362,451,620,1400,0,4,1333.0,6,0.007841176470588235
250000,0,1,0,0,1,0,1,0,0,29,0,0,0,0,0,0,124442,93302,92934,94002,92826,88001,5000,5000,3500,4000,4000,5000,0,3,97584.5,8,0.390338
200000,0,1,0,0,1,0,0,1,0,34,-1,-1,-1,-1,-2,-2,165,165,165,0,0,0,165,165,0,0,0,0,0,5,82.5,7,0.0004125
500000,0,1,0,0,1,0,0,1,0,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,10,9719.666666666666,10,0.019439333333333333
200000,1,0,0,0,1,0,0,1,0,25,-1,-1,-2,-2,-2,-2,776,0,0,151,0,0,0,0,151,0,0,0,0,1,154.5,7,0.0007725
80000,1,0,0,1,0,0,0,1,0,32,0,0,0,0,0,-2,28408,25695,11553,2350,0,0,1259,1035,1600,0,0,0,0,5,11334.333333333334,3,0.14167916666666666
360000,0,1,0,1,0,0,0,1,0,28,0,0,0,-2,-1,-1,207571,182384,161295,199803,198614,2383,6114,4899,202074,200395,2383,98668,0,3,158675.0,9,0.4407638888888889
20000,1,0,1,0,0,0,0,1,0,52,2,2,2,2,0,0,5682,6437,7181,7908,8781,9645,1000,1000,1000,1000,1000,0,1,10,7605.666666666667,1,0.38028333333333336
50000,1,0,0,1,0,0,1,0,0,27,0,0,0,0,0,0,33944,29194,27862,21229,20178,19275,1513,2000,2000,1000,1000,1000,0,2,25280.333333333332,2,0.5056066666666666
360000,0,1,1,0,0,0,1,0,0,34,0,0,0,0,0,0,304883,301286,258122,255309,233946,235916,15000,9221,9225,8112,8369,9000,0,5,264910.3333333333,9,0.735862037037037
50000,1,0,0,1,0,0,1,0,0,22,2,0,0,0,0,0,47076,48628,48524,8411,8587,8758,2617,2463,350,311,313,324,1,1,28330.666666666668,2,0.5666133333333333
20000,0,1,0,1,0,0,1,0,0,33,0,0,0,0,0,0,13479,14944,16392,17789,18238,17638,2000,2000,2000,1000,800,700,0,5,16413.333333333332,1,0.8206666666666667
80000,1,0,0,1,0,0,0,1,0,25,0,0,0,0,0,0,73267,74425,76347,51150,43193,44230,2971,3435,1750,1593,1730,1972,1,1,60435.333333333336,3,0.7554416666666667
220000,0,1,0,0,1,0,1,0,0,35,1,2,0,0,2,2,190105,185836,187220,199542,202036,200956,0,6600,15200,7000,2000,15000,1,6,194282.5,7,0.8831022727272727
350000,1,0,0,0,1,0,0,1,0,52,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1,10,2400.0,9,0.006857142857142857
60000,1,0,0,0,1,0,1,0,0,23,0,0,0,0,0,0,51275,41950,40861,35638,32147,19796,2000,1718,3800,2000,2386,1000,0,1,36944.5,3,0.6157416666666666
180000,0,1,0,1,0,0,0,1,0,36,2,2,-2,-2,-2,-2,83538,0,0,0,0,0,0,0,0,0,0,0,1,6,13923.0,6,0.07735
80000,1,0,1,0,0,0,0,1,0,50,0,0,0,0,0,0,6627,9503,11966,14493,20328,23506,3000,3000,3000,8000,3506,3000,0,10,14403.833333333334,3,0.18004791666666667
30000,1,0,0,0,1,0,1,0,0,26,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0,2,3749.3333333333335,1,0.12497777777777778
190000,0,1,0,1,0,0,1,0,0,29,0,0,0,0,0,0,185222,163336,157158,149423,115038,97756,5836,6358,5487,4038,3803,3042,0,3,144655.5,6,0.7613447368421052
260000,0,1,0,1,0,0,0,1,0,62,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,780,390,390,390,390,0,10,390.0,8,0.0015
310000,1,0,0,1,0,0,0,1,0,36,0,0,0,0,0,0,294180,295875,302438,293473,297926,280967,11000,11300,10500,10100,10000,9600,0,6,294143.1666666667,9,0.9488489247311829
140000,1,0,0,1,0,0,0,1,0,29,0,0,0,0,0,0,100064,95224,104440,88467,71519,63150,6029,30000,7981,3000,3000,3000,0,3,87144.0,5,0.6224571428571428
210000,1,0,0,1,0,0,1,0,0,32,0,0,0,0,0,0,44304,46255,50486,54019,58091,61630,3000,5000,5000,5000,4500,5000,0,5,52464.166666666664,7,0.24982936507936507
230000,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,0,24973,24974,25566,23427,28229,31355,5000,5000,2100,5229,3355,4598,0,1,26420.666666666668,7,0.11487246376811595
280000,1,0,0,1,0,0,1,0,0,30,2,2,2,2,2,0,254307,257669,226452,215692,194206,185854,9100,5509,7604,0,9200,6400,0,4,222363.33333333334,8,0.794154761904762
180000,1,0,0,1,0,0,0,1,0,36,0,0,0,0,0,0,98736,96566,81166,72463,72189,70712,6025,5000,6800,5000,5000,5000,0,6,81972.0,6,0.4554
50000,0,1,1,0,0,0,0,1,0,54,1,2,0,0,0,0,48679,47597,48503,49517,19592,19868,0,2100,2500,800,1000,900,0,10,38959.333333333336,2,0.7791866666666667
20000,1,0,0,0,1,0,1,0,0,31,3,2,2,2,2,0,6186,5941,8541,8560,8274,9135,0,2869,305,0,1000,1000,1,4,7772.833333333333,1,0.38864166666666666
250000,1,0,0,0,1,0,1,0,0,28,0,0,0,0,0,0,116861,109714,101494,92258,71472,77800,5000,5000,3000,3000,11500,10000,0,3,94933.16666666667,8,0.37973266666666666
20000,0,1,0,1,0,0,1,0,0,23,1,3,2,2,0,0,17529,16967,17176,16605,17185,18340,0,780,0,1000,1600,1000,1,1,17300.333333333332,1,0.8650166666666667
130000,1,0,0,0,1,0,1,0,0,29,-1,-1,-2,-2,-2,-2,2139,0,0,0,0,0,0,0,0,0,0,0,0,3,356.5,5,0.0027423076923076923
80000,1,0,0,1,0,0,1,0,0,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,3100,0,0,0,0,0,2,0.0,3,0.0
150000,1,0,0,1,0,0,1,0,0,50,-1,-1,-1,-1,-1,-2,7890,8958,780,7500,0,0,8958,780,7500,0,0,0,0,10,4188.0,5,0.02792
200000,1,0,0,0,1,0,1,0,0,30,-2,-2,-2,-2,-2,-2,1028,1025,1613,2193,2698,3812,1030,1621,2213,2711,3831,2213,0,4,2061.5,7,0.0103075
500000,1,0,0,1,0,0,1,0,0,29,0,0,0,0,0,0,433792,396009,335873,320755,316650,318228,13678,12021,11428,10871,11736,10699,1,3,353551.1666666667,10,0.7071023333333334
130000,1,0,1,0,0,0,0,1,0,38,0,0,0,0,0,0,100443,95794,92765,48481,47779,42362,3516,4112,2007,2516,1119,1016,1,7,71270.66666666667,5,0.5482358974358975
90000,1,0,0,0,1,0,0,1,0,38,0,0,0,0,0,2,85376,86326,88122,62706,53612,40963,4326,4322,2706,3575,0,1670,0,7,69517.5,4,0.7724166666666666
250000,1,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,147934,149485,152678,157337,159719,163649,5500,5600,7200,6500,6500,6000,0,5,155133.66666666666,8,0.6205346666666667
150000,1,0,0,0,0,1,0,1,0,26,1,-2,-2,-2,-1,-1,0,0,0,0,741,0,0,0,0,741,0,1669,0,2,123.5,5,0.0008233333333333334
30000,1,0,0,0,1,0,1,0,0,45,1,2,-1,-1,-1,-1,5830,1330,909,390,29570,940,0,909,390,29570,940,3482,0,9,6494.833333333333,1,0.21649444444444443
210000,1,0,0,0,1,0,1,0,0,28,-1,-1,-1,-1,0,0,262,3771,5474,69536,76188,72678,3771,5474,69536,10000,4000,2100,0,3,37984.833333333336,7,0.18088015873015875
160000,1,0,0,1,0,0,0,1,0,37,0,-1,-1,-1,0,-1,13307,22887,16846,2150,1033,8264,22887,16890,2150,0,8264,8799,0,6,10747.833333333334,6,0.06717395833333334
30000,0,1,0,1,0,0,1,0,0,29,0,0,0,0,0,0,12174,13309,13874,15304,8588,4873,1635,1200,1630,4000,1000,300,0,3,11353.666666666666,1,0.37845555555555555
300000,1,0,1,0,0,0,0,1,0,27,-1,-1,-1,-1,-1,-1,1890,1570,390,390,390,390,1570,390,390,390,390,1890,0,2,836.6666666666666,9,0.002788888888888889
180000,0,1,1,0,0,0,0,1,0,35,0,0,0,0,0,0,111752,54470,48311,38221,33947,24731,2258,1734,1183,1174,1000,537,0,6,51905.333333333336,6,0.288362962962963
180000,1,0,1,0,0,0,0,1,0,33,-1,-1,-1,-1,-1,-1,478,478,2272,3970,330,0,478,2272,3970,420,0,0,0,5,1254.6666666666667,6,0.006970370370370371
310000,1,0,0,1,0,0,0,1,0,35,0,0,-1,0,0,-1,14332,8257,11505,17264,10919,3185,1041,11512,7271,5000,3215,15558,0,6,10910.333333333334,9,0.03519462365591398
50000,0,1,0,1,0,0,1,0,0,35,0,0,0,0,-1,-1,14536,10827,9594,7309,1277,3310,2000,2000,2000,1277,3294,0,0,6,7808.833333333333,2,0.15617666666666666
50000,1,0,1,0,0,0,0,0,1,55,-1,-1,-1,0,0,2,390,390,911,1080,930,390,390,911,559,390,0,390,0,10,681.8333333333334,2,0.013636666666666667
20000,0,1,0,1,0,0,1,0,0,33,0,0,0,0,0,-1,8488,10179,11901,11901,9336,9054,2000,2000,0,0,9054,2000,1,5,10143.166666666666,1,0.5071583333333333
500000,1,0,0,1,0,0,1,0,0,26,0,0,0,0,0,0,59039,58262,54586,29280,31284,29371,4028,2077,1001,3008,1305,1007,0,2,43637.0,10,0.087274
360000,1,0,0,1,0,0,1,0,0,30,-2,-2,-2,-2,-2,-2,2500,0,0,0,0,0,0,0,0,0,0,0,0,4,416.6666666666667,9,0.0011574074074074076
50000,0,1,1,0,0,0,0,1,0,52,2,2,2,2,4,3,36428,37530,38630,41774,40806,41357,2000,2000,4086,0,1500,1000,0,10,39420.833333333336,2,0.7884166666666668
280000,1,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,55709,51834,41426,35212,40052,46510,9441,2691,3001,6010,10000,6655,0,5,45123.833333333336,8,0.16115654761904763
150000,1,0,1,0,0,0,0,1,0,34,0,0,0,-1,-1,-1,28210,19130,10000,8000,0,10000,1130,1000,8000,2000,10000,0,0,5,12556.666666666666,5,0.08371111111111111
720000,0,1,0,0,1,0,0,1,0,40,0,0,0,0,0,0,308274,209976,158694,148956,135217,85300,8500,6000,6000,5237,3000,8961,1,7,174402.83333333334,10,0.2422261574074074
290000,1,0,0,1,0,0,0,1,0,42,0,0,0,0,0,0,154753,122241,113434,115273,97040,89942,7000,6000,5000,5000,4000,3000,0,8,115447.16666666667,9,0.39809367816091956
50000,0,1,0,0,1,0,1,0,0,25,0,0,0,0,0,0,49654,49917,25239,10228,10107,9178,1600,2310,303,369,331,4,0,1,25720.5,2,0.51441
500000,0,1,0,1,0,0,1,0,0,26,0,0,0,0,0,0,126725,128206,129327,130136,127699,124623,6005,6005,6094,4161,5021,4350,0,2,127786.0,10,0.255572
240000,1,0,0,0,1,0,0,1,0,45,-1,-1,-1,-1,-1,-1,8732,5286,5596,3328,3763,9529,5286,5596,3328,3763,9529,4895,0,9,6039.0,8,0.0251625
270000,1,0,0,0,1,0,1,0,0,31,0,0,-2,-1,-1,0,13759,0,0,2786,4686,3184,0,0,2786,4686,0,0,0,4,4069.1666666666665,8,0.015070987654320987
30000,0,1,0,1,0,0,1,0,0,24,-1,-1,-1,0,0,-2,390,390,780,780,0,0,390,780,0,0,0,0,1,1,390.0,1,0.013
480000,0,1,0,0,1,0,0,1,0,41,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,10,0.0
190000,1,0,0,0,0,1,1,0,0,39,0,0,0,0,0,0,109023,99265,78430,77653,78395,70849,4000,3507,3003,3003,3510,3500,0,7,85602.5,6,0.45053947368421055
20000,0,1,0,1,0,0,0,1,0,34,0,0,2,3,2,0,14950,16446,19844,19162,18704,19226,2065,3398,0,0,780,18010,0,5,18055.333333333332,1,0.9027666666666666
500000,1,0,0,1,0,0,1,0,0,32,-1,-1,-1,-1,0,0,9609,5609,967,16638,15721,17349,5637,972,16671,5749,7376,10723,0,5,10982.166666666666,10,0.021964333333333332
360000,0,1,1,0,0,0,0,1,0,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,9451,0,9,0.0,9,0.0
20000,1,0,0,1,0,0,0,1,0,30,0,0,0,0,0,0,16754,17763,18854,19972,18090,19842,1291,2382,1500,605,2000,2000,0,4,18545.833333333332,1,0.9272916666666666
250000,1,0,0,1,0,0,0,1,0,50,0,0,2,0,0,0,116256,122392,118668,95735,96509,97089,11500,0,3543,3700,3547,3165,0,10,107774.83333333333,8,0.43109933333333333
80000,0,1,0,1,0,0,1,0,0,26,-1,0,0,0,0,0,2159,4132,5949,7144,5309,500,2000,2002,2005,15,523,0,0,2,4198.833333333333,3,0.052485416666666666
